Cupo,Baseline_Precision,Baseline_Recall,Modelo_Precision,Modelo_Recall,Alertas
Top 10%,1.0,0.2630120421222351,1.0,0.174333652441175,3460
Top 20%,0.933150753143284,0.3776893233234242,1.0,0.3484153776389379,6915
Top 30%,0.8928061406640485,0.5040056431702524,1.0,0.5222955610419711,10366
