Modelo,MAE,RMSE,R2
Baseline 0 (media global),1.2041653160586439,1.492101207050953,-4.510888721442896e-06
Baseline 1 (media por segmento),0.9845559359185572,1.266319630842248,0.2797353928964669
Modelo B (LightGBM Regressor),0.9910537715013058,1.2651180139531457,0.2811016695699744
